# BUSCO version is: 5.4.3 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2024-01-08, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at4891	Complete	9238	3	14489	+	4423.6	3519	https://v10-1.orthodb.org/?query=0at4891	Midasin
6at4891	Complete	9558	3944	15178	+	4252.1	2957	https://v10-1.orthodb.org/?query=6at4891	PIK-related kinase
23at4891	Complete	9060	1597	11028	-	2474.5	2193	https://v10-1.orthodb.org/?query=23at4891	Vacuolar protein sorting-associated protein
42at4891	Complete	9074	4012	10650	-	3448.6	1774	https://v10-1.orthodb.org/?query=42at4891	Carbamoyl-phosphate synthase small subunit, N-terminal domain
50at4891	Complete	9192	4597	13458	+	1718.4	1695	https://v10-1.orthodb.org/?query=50at4891	Protein Csf1
61at4891	Complete	9722	32647	42450	-	2068.3	1936	https://v10-1.orthodb.org/?query=61at4891	E3 ubiquitin ligase, domain of unknown function DUF908
85at4891	Complete	9718	32765	40006	-	3299.1	1836	https://v10-1.orthodb.org/?query=85at4891	Pre-mRNA-processing-splicing factor 8
86at4891	Complete	9030	2820	9518	-	3355.2	1831	https://v10-1.orthodb.org/?query=86at4891	Acetyl-CoA carboxylase
93at4891	Complete	9322	7193	15208	+	2040.2	1585	https://v10-1.orthodb.org/?query=93at4891	Translational activator Gcn1
95at4891	Complete	9454	11333	17767	-	3250.4	1793	https://v10-1.orthodb.org/?query=95at4891	Glutamate synthase, alpha subunit, C-terminal
115at4891	Complete	9268	4244	11107	+	1745.3	1463	https://v10-1.orthodb.org/?query=115at4891	Cell morphogenesis central region
145at4891	Complete	9492	263	7366	+	1239.4	1233	https://v10-1.orthodb.org/?query=145at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
154at4891	Complete	9210	629	8989	+	356.4	243	https://v10-1.orthodb.org/?query=154at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
170at4891	Complete	9682	29247	35876	+	2381.7	1638	https://v10-1.orthodb.org/?query=170at4891	DNA polymerase epsilon catalytic subunit
216at4891	Complete	9566	15508	21207	+	1390.6	1038	https://v10-1.orthodb.org/?query=216at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
227at4891	Complete	8774	103	5037	-	2554.4	1454	https://v10-1.orthodb.org/?query=227at4891	Clathrin heavy chain
245at4891	Complete	8904	4373	9361	-	2452.6	1386	https://v10-1.orthodb.org/?query=245at4891	RNA polymerase Rpb1, domain 1
274at4891	Complete	9708	27664	33798	-	2846.2	1638	https://v10-1.orthodb.org/?query=274at4891	Fatty acid synthase
300at4891	Complete	8986	231	6620	-	1277.0	904	https://v10-1.orthodb.org/?query=300at4891	Phosphatidylinositol-4-phosphate 5-kinase, core
331at4891	Complete	9724	7249	12555	-	1281.2	1382	https://v10-1.orthodb.org/?query=331at4891	U3 small nucleolar RNA-associated protein 10
364at4891	Fragmented	9144	512	3142	-	1366.0	770	https://v10-1.orthodb.org/?query=364at4891	3-phosphoshikimate 1-carboxyvinyltransferase
365at4891	Complete	9346	692	5866	+	2554.8	1450	https://v10-1.orthodb.org/?query=365at4891	RNA polymerase Rpb1, domain 7
369at4891	Complete	9522	10368	14957	-	1371.1	923	https://v10-1.orthodb.org/?query=369at4891	Phospholipase
394at4891	Complete	9404	7122	13385	+	1256.4	1104	https://v10-1.orthodb.org/?query=394at4891	CCR4-NOT transcription complex subunit 1, HEAT repeat 1
414at4891	Complete	9172	6448	10827	+	2266.5	1199	https://v10-1.orthodb.org/?query=414at4891	DNA-directed RNA polymerase subunit
419at4891	Complete	9620	12635	16288	+	2194.3	1056	https://v10-1.orthodb.org/?query=419at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
425at4891	Complete	8854	171	3779	+	1903.7	992	https://v10-1.orthodb.org/?query=425at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
431at4891	Complete	8998	3807	7982	+	1768.7	1066	https://v10-1.orthodb.org/?query=431at4891	Polyketide synthase, phosphopantetheine-binding domain
443at4891	Complete	9720	12775	17526	-	1109.3	841	https://v10-1.orthodb.org/?query=443at4891	Winged helix-like DNA-binding domain superfamily
455at4891	Missing
468at4891	Complete	9200	6060	11027	-	1567.6	1022	https://v10-1.orthodb.org/?query=468at4891	P-type ATPase
469at4891	Complete	9064	5230	9708	-	640.0	908	https://v10-1.orthodb.org/?query=469at4891	Rho GTPase activation protein
471at4891	Complete	9382	4541	11035	+	842.8	1015	https://v10-1.orthodb.org/?query=471at4891	Ras guanine nucleotide exchange factor domain superfamily
510at4891	Complete	9286	5490	9152	+	1193.5	943	https://v10-1.orthodb.org/?query=510at4891	Armadillo-type fold
514at4891	Complete	8894	2435	8020	-	1487.6	1392	https://v10-1.orthodb.org/?query=514at4891	Proteasome component Ecm29
515at4891	Complete	8598	1664	6067	+	1583.5	987	https://v10-1.orthodb.org/?query=515at4891	Chromo domain
519at4891	Complete	9562	16481	23959	-	1806.3	1714	https://v10-1.orthodb.org/?query=519at4891	Armadillo-type fold
528at4891	Complete	8470	1538	5611	+	1774.7	1026	https://v10-1.orthodb.org/?query=528at4891	PurM-like, C-terminal domain
535at4891	Duplicated	9046	2827	6978	+	727.7	836	https://v10-1.orthodb.org/?query=535at4891	Nucleoporin, Nup133/Nup155-like, C-terminal
